type,start_time,ambient_temp_c,battery_id,test_id,uid,filename,capacity_ahr,electrolyte_resistance_re,charge_transfer_resistance_rct,cycle_index,soh_percentage,rul_cycles,rest_time_hours,cumulative_time_hours,long_rest_flag,total_internal_resistance,resistance_growth_ratio,capacity_decay_rate_5c,capacity_ema_5,capacity_rolling_std_5
discharge,2008-04-02 15:25:41.593000,0.6159885827138503,B0006,1,4506,04506.csv,2.035337591005598,-2.9718673543855942,-2.5541708922443727,-1.2546649079372523,100.0,101,-0.3352760930883402,-1.2173607181576145,-6.841052550594827,-3.0749766758377546,-0.030333213381682968,0.030052390418546782,1.6999335523636652,-0.3921908713000117
discharge,2008-04-02 19:43:48.405999,0.6159885827138503,B0006,3,4508,04508.csv,2.025140246031412,-2.9718673543855942,-2.5541708922443727,-1.2322530008820192,99.49898508143076,100,-0.17328056653479865,-1.2061783567477042,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,0.030052390418546782,1.6921532679125604,-0.33057642451021585
discharge,2008-04-03 00:01:06.687000,0.6159885827138503,B0006,5,4510,04510.csv,2.013326371345464,-2.9718673543855942,-2.5541708922443727,-1.209841093826786,98.91854698908898,99,-0.17378822208479547,-1.1950310382056593,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,0.030052390418546782,1.6779527609253881,-0.29806378756444774
discharge,2008-04-03 04:16:37.375000,0.6159885827138503,B0006,7,4512,04512.csv,2.0132846655407413,-2.9718673543855942,-2.5541708922443727,-1.187429186771553,98.91649790372313,98,-0.17491366893119287,-1.1839614079408887,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,0.030052390418546782,1.668453935923368,-0.3013922825125381
discharge,2008-04-03 08:33:25.702999,0.6159885827138503,B0006,9,4514,04514.csv,2.000528337624771,-2.9718673543855942,-2.5541708922443727,-1.1650172797163199,98.28975529491258,97,-0.17410153718268956,-1.1728357171729829,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,0.030052390418546782,1.6523886702015005,-0.2791696732656236
discharge,2008-04-03 12:55:10.686999,0.6159885827138503,B0006,11,4516,04516.csv,2.0138990759931645,-2.9718673543855942,-2.5541708922443727,-1.1426053726610867,98.9466850557287,96,-0.17099844908506961,-1.161495823869164,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,-0.07030603702997963,1.651879986490435,-0.31774095761244936
discharge,2008-04-03 17:17:16.015000,0.6159885827138503,B0006,13,4518,04518.csv,2.013101105626967,-2.9718673543855942,-2.5541708922443727,-1.1201934656058536,98.907479256665,95,-0.17078564628604226,-1.15014124103744,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,-0.026305486893450053,1.65093203530183,-0.34292584661721726
discharge,2008-04-03 21:28:14.718000,0.6159885827138503,B0006,15,4520,04520.csv,1.96878982627284,-2.9718673543855942,-2.5541708922443727,-1.0977815585506205,96.73038197560736,94,-0.17775869284234297,-1.1392679994401291,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,-0.17843302122898366,1.616491820829422,-0.226871899987266
discharge,2008-04-04 01:38:15.217999,0.6159885827138503,B0006,17,4522,04522.csv,1.9681661764334244,-2.9718673543855942,-2.5541708922443727,-1.0753696514953874,96.69974087497759,93,-0.1783675092459891,-1.1284367837258948,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,-0.18115722988573865,1.593055850741759,-0.19638708073878197
discharge,2008-04-04 05:48:08.609000,0.6159885827138503,B0006,19,4524,04524.csv,1.9572307917560536,-2.9718673543855942,-2.5541708922443727,-1.0529577444401543,96.16246466459876,92,-0.1784418709545183,-1.117610701113281,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,-0.1726329920925474,1.5690884829105605,-0.16056087257574658
discharge,2008-04-04 09:57:19.765000,0.6159885827138503,B0006,21,4526,04526.csv,1.9455991514129352,-2.9718673543855942,-2.5541708922443727,-1.0305458373849212,95.59098009149795,91,-0.17888365850799529,-1.1068151145779013,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,-0.28967465325726144,1.5442356266285973,-0.17352817046032715
discharge,2008-04-04 17:56:27.609000,0.6159885827138503,B0006,24,4529,04529.csv,1.934750504484113,-2.9718673543855942,-2.5541708922443727,-1.0081339303296881,95.05796547137972,90,-0.03456721732676294,-1.0860575331836868,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,-0.33672409180437124,1.519389846438632,-0.2663983932357492
discharge,2008-04-04 22:01:54.670999,0.6159885827138503,B0006,26,4531,04531.csv,1.9232799539368028,-2.9718673543855942,-2.5541708922443727,-0.9857220232744549,94.49439554578115,89,-0.18122773186200486,-1.0754237552857029,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,-0.1829893812890108,1.4940742888542216,-0.2405211273451911
discharge,2008-04-05 02:20:26.702999,0.6159885827138503,B0006,28,4533,04533.csv,1.911889930948487,-2.9718673543855942,-2.5541708922443727,-0.9633101162192218,93.93478209204011,88,-0.17301677014580544,-1.0642231843201146,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,-0.2333891537509107,1.4685069865794504,-0.23951098338621196
discharge,2008-04-05 06:25:01.889999,0.6159885827138503,B0006,30,4535,04535.csv,1.9010667141979305,-2.9718673543855942,-2.5541708922443727,-0.9408982091639887,93.40301690486008,87,-0.18177035594989902,-1.0536268631271997,0.14617633655117152,-3.0749766758377546,-0.030333213381682968,-0.23286407089238623,1.4432043115643476,-0.24096221037961424
